,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
140,141,141,Michael Long,72,"75' 8""",58135,64,"4' 3""","135' 4"""
141,142,142,Glen Hnatiuk,59,"75' 7""",44422,49,"4' 3""","119' 2"""
142,T143,T143,John Senden,101,"75' 6""",80612,89,"4' 3""","130' 2"""
143,T143,T143,Scott Verplank,87,"75' 6""",59766,66,"4' 3""","127' 0"""
144,T145,T145,Tommy Armour III,103,"75' 5""",81460,90,"4' 3""","125' 3"""
145,T145,T145,Rich Beem,66,"75' 5""",43446,48,"4' 3""","125' 6"""
146,147,147,Paul Claxton,79,"75' 4""",59666,66,"4' 3""","143' 2"""
147,T148,T148,Justin Leonard,78,"75' 2""",47787,53,"4' 3""","145' 8"""
148,T148,T148,Ted Purdy,122,"75' 2""",90160,100,"4' 3""","140' 1"""
149,T150,T150,Glen Day,80,"75' 1""",64868,72,"4' 3""","123' 6"""
150,T150,T150,Hidemichi Tanaka,106,"75' 1""",83784,93,"4' 3""","147' 6"""
151,152,152,Jeff Sluman,94,"75' 0""",74662,83,"4' 3""","144' 0"""
152,153,153,Neal Lancaster,95,"74' 10""",75403,84,"4' 2""","134' 8"""
153,154,154,Kevin Sutherland,89,"74' 9""",66352,74,"4' 2""","133' 4"""
154,T155,T155,Vaughn Taylor,99,"74' 8""",78863,88,"4' 3""","145' 6"""
155,T155,T155,Roland Thatcher,75,"74' 8""",59135,66,"4' 2""","148' 11"""
156,T157,T157,Todd Fischer,99,"74' 7""",76939,86,"4' 2""","135' 6"""
157,T157,T157,Will MacKenzie,75,"74' 7""",60861,68,"4' 2""","154' 10"""
158,159,159,Michael Allen,90,"74' 6""",68811,77,"4' 3""","119' 5"""
159,T160,T160,José Coceres,56,"74' 5""",47324,53,"4' 3""","134' 7"""
160,T160,T160,Skip Kendall,80,"74' 5""",61644,69,"4' 3""","136' 7"""
161,T160,T160,Duffy Waldorf,86,"74' 5""",63423,71,"4' 2""","147' 1"""
162,163,163,D.J. Brigman,76,"74' 3""",53457,60,"4' 2""","170' 9"""
163,T164,T164,David Hearn,68,"74' 1""",54249,61,"4' 2""","127' 1"""
164,T164,T164,John Rollins,97,"74' 1""",72003,81,"4' 2""","198' 4"""
165,T166,T166,Matt Davidson,53,"74' 0""",44422,50,"4' 2""","122' 4"""
166,T166,T166,Paul Gow,78,"74' 0""",58591,66,"4' 3""","135' 0"""
167,T166,T166,Mathias Grönberg,60,"74' 0""",49719,56,"4' 2""","120' 7"""
168,169,169,Carlos Franco,78,"73' 11""",59448,67,"4' 2""","116' 2"""
169,T170,T170,Paul Azinger,66,"73' 10""",50510,57,"4' 2""","132' 5"""
170,T170,T170,Franklin Langham,91,"73' 10""",66459,75,"4' 2""","126' 1"""
171,T170,T170,Craig Perks,67,"73' 10""",50484,57,"4' 1""","130' 2"""
172,173,173,Brett Wetterich,76,"73' 8""",58337,66,"4' 2""","137' 7"""
173,174,174,Luke Donald,67,"73' 6""",35289,40,"4' 2""","119' 2"""
174,175,175,Ryuji Imada,78,"73' 5""",57292,65,"4' 2""","137' 11"""
175,176,176,Robert Damron,89,"73' 0""",68317,78,"4' 2""","140' 8"""
176,177,177,Dennis Paulson,63,"72' 11""",48149,55,"4' 1""","124' 10"""
177,178,178,Jason Bohn,91,"72' 7""",69685,80,"4' 1""","134' 11"""
178,T179,T179,Alex Cejka,84,"72' 6""",59152,68,"4' 1""","138' 4"""
179,T179,T179,Sergio Garcia,73,"72' 6""",45245,52,"4' 1""","144' 8"""
180,T181,T181,J.J. Henry,102,"72' 5""",73856,85,"4' 1""","143' 10"""
181,T181,T181,Andrew Magee,82,"72' 5""",59979,69,"4' 1""","138' 11"""
182,183,183,Bill Glasson,54,"72' 4""",38181,44,"4' 1""","134' 10"""
183,T184,T184,Justin Bolli,65,"72' 1""",51024,59,"4' 1""","129' 8"""
184,T184,T184,Fred Couples,72,"72' 1""",36334,42,"4' 2""","114' 0"""
185,186,186,Joey Sindelar,104,"71' 11""",83758,97,"4' 0""","140' 3"""
186,T187,T187,Jonathan Kaye,77,"71' 10""",55191,64,"4' 1""","127' 11"""
187,T187,T187,Omar Uresti,84,"71' 10""",62028,72,"4' 1""","136' 4"""
188,189,189,Ben Curtis,65,"71' 9""",41330,48,"4' 1""","117' 7"""
189,190,190,Doug Barron,70,"71' 8""",54197,63,"4' 0""","134' 4"""
190,191,191,Rocco Mediate,73,"71' 6""",54897,64,"4' 0""","123' 1"""
191,192,192,John Daly,78,"71' 4""",47938,56,"4' 0""","127' 10"""
192,193,193,Chris Riley,67,"71' 1""",34954,41,"3' 11""","133' 5"""
193,194,194,Joe Durant,81,"70' 11""",57022,67,"3' 12""","122' 9"""
194,195,195,Jeff Hart,63,"70' 9""",47530,56,"3' 12""","136' 11"""
195,196,196,Steve Jones,56,"70' 8""",39022,46,"3' 12""","155' 8"""
196,197,197,Bradley Hughes,52,"69' 10""",41065,49,"3' 11""","123' 4"""
197,198,198,Tom Lehman,69,"69' 6""",41699,50,"3' 11""","147' 8"""
198,199,199,Mark Brooks,72,"69' 4""",50745,61,"3' 11""","123' 0"""
199,200,200,Retief Goosen,71,"68' 9""",35474,43,"3' 10""","122' 10"""
200,201,201,Hideto Tanihara,50,"68' 4""",36882,45,"3' 10""","118' 5"""
201,202,202,Jim Carter,62,"67' 8""",43036,53,"3' 9""","134' 3"""
