,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
241,T241,T241,Michael Bradley,24,0.28,"$360,843","$130,700,000"
242,T241,T241,Roger Tambellini,26,0.28,"$370,735","$132,800,000"
243,T244,T244,Daniel Barbetti,1,0.27,"$9,481","$3,500,000"
244,T244,T244,Danny Chia,1,0.27,"$19,046","$7,000,000"
245,T244,T244,Benjamin Fox,3,0.27,"$33,540","$12,600,000"
246,T244,T244,Robert Gamez,8,0.27,"$101,700","$37,300,000"
247,T244,T244,Peter Gustafsson,1,0.27,"$9,481","$3,500,000"
248,T244,T244,Zane Scotland,1,0.27,"$19,046","$7,000,000"
249,T244,T244,Kyle Stanley,3,0.27,"$43,090","$16,000,000"
250,T244,T244,Cameron Tringale,22,0.27,"$302,618","$110,400,000"
251,T252,T252,Bobby Gates,2,0.26,"$34,722","$13,600,000"
252,T252,T252,K.T. Kim,2,0.26,"$38,101","$14,500,000"
253,T252,T252,Peter Senior,1,0.26,"$18,047","$7,000,000"
254,T255,T255,Frank Lickliter II,6,0.25,"$74,720","$29,700,000"
255,T255,T255,Jon Mills,1,0.25,"$12,818","$5,100,000"
256,T255,T255,Seung-Yul Noh,5,0.25,"$81,422","$33,100,000"
257,T255,T255,"Jerry Richardson, Jr.",1,0.25,"$12,724","$5,100,000"
258,T255,T255,Matt Weibring,10,0.25,"$128,328","$51,300,000"
259,T260,T260,Andrew Coltart,1,0.24,"$16,742","$7,000,000"
260,T260,T260,Martin Flores,26,0.24,"$318,673","$135,400,000"
261,T260,T260,Carlos Franco,11,0.24,"$123,230","$51,300,000"
262,T260,T260,Cliff Kresge,17,0.24,"$199,583","$82,600,000"
263,T260,T260,Hirofumi Miyase,1,0.24,"$17,126","$7,000,000"
264,T260,T260,Toru Taniguchi,2,0.24,"$34,719","$14,500,000"
265,T260,T260,Steven Tiley,1,0.24,"$17,126","$7,000,000"
266,T267,T267,Thomas Aiken,1,0.23,"$16,358","$7,000,000"
267,T267,T267,Marco Dawson,10,0.23,"$108,160","$46,400,000"
268,T267,T267,Jeff Klauk,13,0.23,"$173,676","$76,800,000"
269,T267,T267,Shane Lowry,2,0.23,"$33,791","$14,500,000"
270,T267,T267,Sam Saunders,7,0.23,"$95,226","$40,800,000"
271,T272,T272,Fredrik Andersson Hed,2,0.22,"$31,842","$14,500,000"
272,T272,T272,Jeff Burns,1,0.22,"$13,237","$6,100,000"
273,T272,T272,Erik Compton,7,0.22,"$77,245","$35,600,000"
274,T272,T272,Rhys Davies,4,0.22,"$66,511","$30,500,000"
275,T272,T272,Glen Day,13,0.22,"$147,776","$65,700,000"
276,T272,T272,Alexandre Rocha,1,0.22,"$12,040","$5,600,000"
277,T278,T278,Rich Beem,11,0.21,"$128,877","$60,200,000"
278,T278,T278,Guy Boros,6,0.21,"$54,832","$25,800,000"
279,T278,T278,Billy Hurley III,1,0.21,"$8,560","$4,000,000"
280,T278,T278,Rod Pampling,26,0.21,"$299,263","$143,000,000"
281,T278,T278,Jason Schultz,1,0.21,"$13,845","$6,500,000"
282,T278,T278,Omar Uresti,27,0.21,"$283,455","$137,900,000"
283,T278,T278,Tim Wilkinson,15,0.21,"$160,705","$78,200,000"
284,T278,T278,Gary Woodland,8,0.21,"$95,814","$45,200,000"
285,T286,T286,Daniel Chopra,28,0.2,"$311,405","$153,300,000"
286,T286,T286,Harrison Frazar,17,0.2,"$201,280","$100,300,000"
287,T286,T286,Fred Funk,6,0.2,"$77,802","$39,500,000"
288,T286,T286,Jamie Lovemark,4,0.2,"$45,400","$22,200,000"
289,T286,T286,Warren Schutte,1,0.2,"$8,471","$4,300,000"
290,T286,T286,Casey Wittenberg,1,0.2,"$11,200","$5,600,000"
291,T292,T292,Paul Azinger,1,0.19,"$9,486","$5,100,000"
292,T292,T292,Rob Labritz,1,0.19,"$14,150","$7,500,000"
293,T292,T292,Michael O'Neal,2,0.19,"$18,424","$9,600,000"
294,T292,T292,Ted Purdy,30,0.19,"$307,676","$162,500,000"
295,T292,T292,Mike Small,8,0.19,"$69,665","$37,100,000"
296,T297,T297,Mark Anderson,1,0.18,"$10,203","$5,700,000"
297,T297,T297,Kevin Hayashi,1,0.18,"$9,900","$5,500,000"
298,T297,T297,Greg Owen,27,0.18,"$268,835","$151,300,000"
299,T297,T297,Dicky Pride,5,0.18,"$40,120","$21,800,000"
300,T297,T297,Andrew Svoboda,1,0.18,"$10,556","$5,800,000"
301,T297,T297,Blake Trimble,1,0.18,"$9,752","$5,300,000"
302,303,303,Matthew Richardson,1,0.17,"$13,023","$7,500,000"
303,T304,T304,Henrik Bjornstad,26,0.16,"$215,911","$132,500,000"
304,T304,T304,Jason Preeo,1,0.16,"$11,707","$7,500,000"
305,T304,T304,Ty Tryon,1,0.16,"$12,293","$7,500,000"
306,T304,T304,Drew Weaver,2,0.16,"$17,365","$11,100,000"
307,T308,T308,Rich Barcelo,25,0.15,"$188,890","$129,300,000"
308,T308,T308,John Daly,20,0.15,"$158,585","$109,100,000"
309,T308,T308,Colin Montgomerie,3,0.15,"$30,977","$20,500,000"
310,T311,T311,Jason Gore,10,0.14,"$77,211","$55,900,000"
311,T311,T311,Jonathan Kaye,6,0.14,"$38,989","$27,800,000"
312,T313,T313,Craig Bowden,20,0.13,"$140,935","$104,700,000"
313,T313,T313,Mark Calcavecchia,16,0.13,"$119,979","$92,600,000"
314,T313,T313,Erick Justesen,2,0.13,"$15,651","$12,500,000"
315,T313,T313,John Morse,5,0.13,"$28,998","$22,300,000"
316,T313,T313,Chez Reavie,15,0.13,"$112,993","$85,900,000"
317,T313,T313,Phil Schmitt,2,0.13,"$12,544","$10,000,000"
318,T319,T319,Jim Carter,5,0.12,"$29,285","$23,800,000"
319,T319,T319,Thomas Levet,2,0.12,"$12,960","$10,600,000"
320,T319,T319,Shigeki Maruyama,4,0.12,"$22,440","$19,000,000"
321,T319,T319,Fran Quinn,7,0.12,"$45,096","$36,400,000"
322,T319,T319,Chris Wood,5,0.12,"$45,000","$36,300,000"
323,T324,T324,Tom Byrum,3,0.11,"$13,420","$12,700,000"
324,T324,T324,Robert Damron,4,0.11,"$17,446","$16,200,000"
325,T324,T324,Alex Hamilton,2,0.11,"$10,835","$10,000,000"
326,T324,T324,Pablo Martin Benavides,2,0.11,"$11,707","$11,100,000"
327,T324,T324,Gareth Maybin,2,0.11,"$16,672","$14,500,000"
328,T324,T324,Brenden Pappas,24,0.11,"$133,584","$121,100,000"
329,T330,T330,John Huston,13,0.1,"$69,248","$70,400,000"
